MTHD,MODL,NTAX,NGEN,TRLN,REPL,DATA,DMAT,STRE,SMAX,SECS
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,06,intron,AGID,RAxML,30,30.4138568604126
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,06,intron,log-det,RAxML,30,63.380607000000005
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,06,intron,log-det,RAxML,30,23.418067
ASTRAL,100tax+75gen,100,75,10M,07,exon,NA,ASTRAL,NA,4.977
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,07,exon,AGID,ASTRAL,30,25.978341087341303
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,07,exon,AGID,ASTRAL,30,11.032341087341301
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,07,exon,log-det,ASTRAL,30,8.934
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,07,exon,log-det,ASTRAL,30,6.031
SVDquartets,100tax+75gen,100,75,10M,07,exon,NA,SVDquartets,NA,280
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,07,exon,AGID,SVDquartets,30,68.5543410873413
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,07,exon,AGID,SVDquartets,30,23.6243410873413
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,07,exon,log-det,SVDquartets,30,78.71000000000001
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,07,exon,log-det,SVDquartets,30,27.97
RAxML,100tax+75gen,100,75,10M,07,exon,NA,RAxML,NA,191.711556
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,07,exon,AGID,RAxML,30,59.2878100873413
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,07,exon,AGID,RAxML,30,24.6286370873413
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,07,exon,log-det,RAxML,30,76.48503500000001
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,07,exon,log-det,RAxML,30,29.086832
ASTRAL,100tax+75gen,100,75,10M,07,intron,NA,ASTRAL,NA,5.554
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,07,intron,AGID,ASTRAL,30,24.816079780578598
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,07,intron,AGID,ASTRAL,30,10.6510797805786
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,07,intron,log-det,ASTRAL,30,8.366
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,07,intron,log-det,ASTRAL,30,5.9399999999999995
SVDquartets,100tax+75gen,100,75,10M,07,intron,NA,SVDquartets,NA,319
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,07,intron,AGID,SVDquartets,30,67.44407978057859
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,07,intron,AGID,SVDquartets,30,23.854079780578598
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,07,intron,log-det,SVDquartets,30,79.97999999999999
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,07,intron,log-det,SVDquartets,30,27.3
RAxML,100tax+75gen,100,75,10M,07,intron,NA,RAxML,NA,243.318965
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,07,intron,AGID,RAxML,30,95.1667157805786
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,07,intron,AGID,RAxML,30,32.7101257805786
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,07,intron,log-det,RAxML,30,112.756511
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,07,intron,log-det,RAxML,30,39.338908
ASTRAL,100tax+75gen,100,75,10M,08,exon,NA,ASTRAL,NA,4.759
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,08,exon,AGID,ASTRAL,30,27.7859610481262
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,08,exon,AGID,ASTRAL,30,11.5439610481262
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,08,exon,log-det,ASTRAL,30,13.402999999999999
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,08,exon,log-det,ASTRAL,30,10.178
SVDquartets,100tax+75gen,100,75,10M,08,exon,NA,SVDquartets,NA,193
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,08,exon,AGID,SVDquartets,30,69.3539610481262
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,08,exon,AGID,SVDquartets,30,24.8439610481262
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,08,exon,log-det,SVDquartets,30,74.7
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,08,exon,log-det,SVDquartets,30,25.99
RAxML,100tax+75gen,100,75,10M,08,exon,NA,RAxML,NA,56.164644
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,08,exon,AGID,RAxML,30,15.8249760481262
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,08,exon,AGID,RAxML,30,10.0754720481262
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,08,exon,log-det,RAxML,30,26.526364
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,08,exon,log-det,RAxML,30,13.508927
ASTRAL,100tax+75gen,100,75,10M,08,intron,NA,ASTRAL,NA,4.643
