MODL,NTAX,NGEN,TRLN,REPL,DATA,MTHD,SMAX,DMAT,STRE,SENL,SEI1,SEI2,SEFP,SEFN,SERF
"100tax+75gen",100,75,10M,08,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,13,13,0.132653
"100tax+75gen",100,75,10M,08,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,17,17,0.173469
"100tax+75gen",100,75,10M,08,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,21,21,0.214286
"100tax+75gen",100,75,10M,08,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,22,22,0.224490
"100tax+75gen",100,75,10M,08,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,19,19,0.193878
"100tax+75gen",100,75,10M,08,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,24,24,0.244898
"100tax+75gen",100,75,10M,08,exon,"RAxML",NA,NA,RAxML,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,08,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,14,14,0.142857
"100tax+75gen",100,75,10M,08,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,14,14,0.142857
"100tax+75gen",100,75,10M,08,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,13,13,0.132653
"100tax+75gen",100,75,10M,08,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,12,12,0.122449
"100tax+75gen",100,75,10M,08,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,9,9,0.091837
"100tax+75gen",100,75,10M,08,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,9,9,0.091837
"100tax+75gen",100,75,10M,08,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,9,9,0.091837
"100tax+75gen",100,75,10M,08,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,8,8,0.081633
"100tax+75gen",100,75,10M,08,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,8,8,0.081633
"100tax+75gen",100,75,10M,08,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,13,13,0.132653
"100tax+75gen",100,75,10M,08,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,12,12,0.122449
"100tax+75gen",100,75,10M,08,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,12,12,0.122449
"100tax+75gen",100,75,10M,08,intron,"RAxML",NA,NA,RAxML,101,98,98,4,4,0.040816
"100tax+75gen",100,75,10M,08,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,3,3,0.030612
"100tax+75gen",100,75,10M,08,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,4,4,0.040816
"100tax+75gen",100,75,10M,08,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,3,3,0.030612
"100tax+75gen",100,75,10M,08,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,3,3,0.030612
"100tax+75gen",100,75,10M,09,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,19,19,0.193878
"100tax+75gen",100,75,10M,09,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,23,23,0.234694
"100tax+75gen",100,75,10M,09,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,13,13,0.132653
"100tax+75gen",100,75,10M,09,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,14,14,0.142857
"100tax+75gen",100,75,10M,09,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,17,17,0.173469
"100tax+75gen",100,75,10M,09,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,20,20,0.204082
"100tax+75gen",100,75,10M,09,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,17,17,0.173469
